,User,Profile Picture,Email Address,Phone Number,Communication History,Company Name,Industry,Deal Stage,Deal Value,Win/Loss Status,Upcoming Tasks,Activity Status,Lead Source,Location,Custom Visuals,Creation Date,Last Updated,User Activity
10,Kenneth Le,https://dummyimage.com/116x542,slee@example.net,208.612.9796,Church citizen call act article computer finish. Cover drop star play.,Baker and Sons,Retail,Proposal,70063,Won,1/14/2024,Ongoing,Other,Isle of Man,10,9/9/2020,12/16/2023,94
11,Christopher Schultz,https://picsum.photos/645/105,edward41@example.com,205.866.8359,Computer receive life wait.,Kelly PLC,Retail,Lead,53664,Won,1/20/2024,Completed,Facebook,Micronesia,10,3/9/2020,12/26/2023,54
12,John Quinn,https://picsum.photos/132/717,bmurphy@example.net,(272)480-3684x19728,Wife oil employee maintain local line. Plant next without including left. Stock test stage different run minute final. Billion fill defense often name work quite.,Hester Group,Finance,Closed Deal,61118,Lost,1/21/2024,Ongoing,Yahoo,Latvia,2,10/29/2022,12/9/2023,55
13,Samuel Payne,https://picsum.photos/446/797,dennisreyes@example.net,492.335.7574,Never as allow long director. Fire decade dinner we. Speak quite firm star.,Ayers Group,Retail,Opportunity,52489,Lost,1/19/2024,Ongoing,Website,Uzbekistan,9,4/12/2023,12/14/2023,69
14,Crystal Sanchez,https://picsum.photos/624/475,victorlittle@example.net,001-954-687-8812x3285,Almost a talk like choice play student. Organization pay player need step whether. Figure tough detail final.,"Jackson, Moreno and Lee",Healthcare,Opportunity,97348,Won,1/11/2024,Ongoing,Google,Botswana,9,3/9/2022,12/17/2023,33
15,Nathaniel Butler,https://picsum.photos/139/336,monicahensley@example.org,+1-226-367-6405x912,Him decision meet possible most east good have. Lose herself stand short answer hour less. Hot tonight west than.,Young Inc,Technology,Closed Deal,64362,Lost,1/4/2024,Ongoing,Other,Hungary,3,1/22/2020,12/24/2023,86
16,Joshua Gibson,https://placekitten.com/456/194,mscott@example.net,001-681-849-8495x2995,Site hotel owner theory. So generation head take wind often huge. A ground political of fast.,White Ltd,Finance,Closed Deal,96922,Won,1/11/2024,Completed,Google,Grenada,4,12/17/2021,12/1/2023,74
17,Kayla Simmons,https://dummyimage.com/830x661,carpenterkimberly@example.org,(297)741-2452x44570,Send bit time piece clearly difference both. Method including require media campaign. Course society measure dinner.,"Adams, Harris and Johnson",Technology,Closed Deal,39222,Lost,1/4/2024,com ,Website,Brazil,1,8/31/2021,12/20/2023,77
18,Kevin Walker,https://placekitten.com/621/699,jessica34@example.net,717-924-7000x30046,Learn within quickly third travel later. Skin picture remember company population sell project table.,"Young, Keller and Cox",Technology,Lead,93687,Won,1/8/2024,Ongoing,Website,Japan,9,4/7/2020,12/3/2023,23
19,Allison Nelson,https://picsum.photos/797/913,ebauer@example.net,001-618-377-2775x69116,Loss walk material evening herself. Sign meeting plant firm produce crime difficult. Already simply attorney claim agree develop offer.,Livingston and Sons,Technology,Lead,71152,Lost,1/26/2024,Ongoing,Instagram,Panama,8,4/12/2022,12/23/2023,14
20,Robyn Nelson,https://picsum.photos/643/507,jesse50@example.org,879.498.4894,Enjoy voice this environment visit. Require under term face particular south size. Every particular throw born loss anything.,Elliott-Evans,Technology,Opportunity,53177,Won,1/24/2024,Completed,Google,Algeria,5,9/4/2021,12/27/2023,83
21,Shaun Martin,https://dummyimage.com/126x952,nterry@example.org,6147221734,To open big black about. Table development wonder medical direction know we.,"Hayes, Graham and Smith",Healthcare,Closed Deal,24106,Won,1/13/2024,Completed,Instagram,Suriname,7,11/4/2020,12/2/2023,30
22,Lauren Jackson,https://picsum.photos/215/816,halejennifer@example.net,(573)231-1033x984,Everybody without new way resource. Still boy or today. Personal sound need. Word up environment.,Perry Ltd,Healthcare,Opportunity,37015,Won,12/31/2023,Ongoing,Yahoo,Guinea-Bissau,10,1/3/2023,12/25/2023,91
23,Ronald Brown,https://placekitten.com/915/275,jennifer71@example.net,(236)835-7604x677,Return without front analysis. Study way experience ago large popular.,Jackson-Kaiser,Technology,Proposal,27997,Lost,1/16/2024,Completed,Instagram,Christmas Island,1,1/14/2023,12/27/2023,51
24,Stacey Petersen,https://picsum.photos/398/677,cummingsjohn@example.org,+1-743-593-1082x9714,Just various drop note player charge. Kid page speak say rule. Organization seat indicate against remember fine.,Phillips-Cooper,Healthcare,Opportunity,76488,Lost,1/2/2024,Ongoing,Facebook,Cape Verde,5,8/12/2020,12/12/2023,67
25,Anthony Davis,https://dummyimage.com/914x303,mosesjulia@example.com,+1-607-420-6178x594,Manager bag management campaign. Standard scientist degree matter safe through doctor. Relate weight surface.,Pierce-Hawkins,Finance,Closed Deal,96755,Lost,1/8/2024,Ongoing,Facebook,Macao,8,5/11/2020,12/6/2023,82
26,James Smith,https://dummyimage.com/286x432,melissareynolds@example.net,+1-720-533-3038x2952,Something inside country foreign year. Travel hotel worry walk president position. Particularly just central.,"Blanchard, Evans and Wang",Technology,Proposal,59518,Lost,1/19/2024,Completed,Instagram,Netherlands Antilles,2,11/17/2020,12/26/2023,18
27,Robert Campbell,https://placekitten.com/813/0,jessicaweaver@example.org,-6641,Summer get maybe suffer artist continue. Try consumer administration myself kid popular.,Rose LLC,Finance,Opportunity,3044,Lost,1/13/2024,Ongoing,Google,Falkland Islands (Malvinas),3,9/13/2022,12/26/2023,49
28,Bobby Johnson,https://placekitten.com/893/0,riveracatherine@example.org,+1-867-758-2239x5793,Student performance wrong dark memory probably. Involve investment above on wind. Beat skin writer. Difficult reflect market.,"Allison, Parker and Stone",Finance,Proposal,48043,Lost,1/20/2024,Ongoing,Google,Congo,5,10/23/2020,12/12/2023,18
29,Vanessa Best,https://picsum.photos/666/153,williamwatkins@example.org,001-600-438-3640,Bank girl future. Forward want hand. Paper discuss now audience budget send. Race alone trouble new argue part part very.,Harris Inc,Technology,Proposal,30011,Lost,1/3/2024,Completed,Instagram,Cook Islands,5,4/30/2023,12/26/2023,59
30,Amber Glover,https://dummyimage.com/195x624,annamathews@example.org,(481)369-7201x63270,Throughout send stage recently treat boy. More green hotel. Point discover government.,Martin Inc,Healthcare,Lead,93946,Lost,1/16/2024,Completed,Yahoo,Saudi Arabia,2,5/22/2022,12/13/2023,100
31,Elizabeth Baker,https://placekitten.com/379/197,thomas88@example.com,+1-462-416-1636x84727,Skin thank accept tonight for customer crime.,Arnold Inc,Finance,Closed Deal,77667,Won,1/9/2024,Ongoing,Website,Guam,9,7/3/2023,12/23/2023,4
32,David Taylor,https://placekitten.com/184/230,bethbaker@example.com,(718)778-0801,Half morning despite. Themselves fill throughout soon wonder computer along.,Myers-Lindsey,Technology,Opportunity,8543,Lost,1/25/2024,Ongoing,X,Syrian Arab Republic,9,5/11/2020,12/3/2023,37
33,Jessica Marshall,https://placekitten.com/214/574,joshua16@example.com,854.807.5717x737,Group fall later beyond morning stand season. Final question if let hard business. Friend accept want single until.,Prince-Lee,Finance,Opportunity,48954,Lost,1/4/2024,Completed,Other,Netherlands,3,5/31/2022,12/5/2023,51
34,Michelle Watkins,https://picsum.photos/728/530,richard58@example.org,227.805.7282x97272,Vote treat window claim left. Not environmental body hear.,Wiley-Perez,Finance,Proposal,49215,Won,1/17/2024,Ongoing,Website,Djibouti,5,12/31/2020,12/15/2023,63
35,Rebecca Choi,https://placekitten.com/756/609,markmoon@example.net,+1-467-867-5213x508,Consumer research generation. Move into evening do Mrs already indeed. Realize community heavy authority he.,Williams-Coleman,Technology,Proposal,88847,Won,1/12/2024,Ongoing,Yahoo,Slovenia,3,8/6/2020,12/23/2023,12
36,Michelle Rogers,https://dummyimage.com/752x760,rowelauren@example.com,303.878.7715,Until pattern discuss four foot new reflect. Teacher idea town research security car.,Bray Inc,Finance,Opportunity,77142,Won,1/26/2024,Completed,Website,Turks and Caicos Islands,10,4/23/2021,12/3/2023,44
37,Stacy Diaz,https://placekitten.com/555/591,alexandermichelle@example.org,407-319-9677x15784,Expect be there throw good. Already hope and like five while stuff.,Pena-Phillips,Technology,Opportunity,93578,Won,12/30/2023,Ongoing,Website,China,5,1/7/2023,12/16/2023,2
38,Lori Johnson,https://picsum.photos/185/724,kentmorgan@example.net,299.920.8337,Room box clear argue trouble protect. Cold nor stand idea door training.,Russo Group,Technology,Closed Deal,52773,Lost,1/3/2024,Completed,Yahoo,San Marino,8,3/14/2020,12/15/2023,30
39,William York,https://placekitten.com/891/320,deanna94@example.net,5135374963,Require degree between itself police drop order. Despite middle between significant care others receive read. Myself war explain sound give condition.,Flowers and Sons,Retail,Closed Deal,21248,Lost,1/8/2024,Completed,Website,Cote d'Ivoire,1,7/12/2022,12/1/2023,62
40,Haley Velez,https://dummyimage.com/553x759,daniel51@example.com,001-805-518-4165,After film well various recognize agreement election. Want fear billion the. Design shoulder especially will smile pull husband method.,Smith-Baker,Finance,Lead,83730,Won,1/15/2024,Completed,Facebook,Cape Verde,10,12/6/2023,12/20/2023,64
41,Christine Miller MD,https://picsum.photos/366/785,ujohnson@example.net,+1-375-419-2772x5608,Possible soon generation money court next account parent. Include happy relationship and environmental still section.,"Young, Woodward and Thompson",Finance,Proposal,77889,Lost,1/19/2024,Completed,Yahoo,Saint Kitts and Nevis,2,3/25/2023,12/3/2023,81
42,Jessica Melton,https://dummyimage.com/1022x487,michael04@example.org,(226)459-1987x2389,More beat worry painting region focus bag. Perform oil ball car.,"Mccormick, Miller and Kelley",Healthcare,Opportunity,36538,Lost,12/30/2023,Ongoing,Other,Tunisia,2,5/4/2020,12/4/2023,51
43,Michael Bond,https://picsum.photos/1007/186,hwalters@example.com,478-464-9320,Kid ahead population claim. Up road buy. Describe represent environment case draw.,Mills-Tanner,Finance,Closed Deal,3285,Won,1/11/2024,Completed,Google,Barbados,8,9/7/2023,12/10/2023,83
44,Christina Meza,https://placekitten.com/318/619,kenneth75@example.net,3022327061,Interest final artist improve doctor say fight friend. Office plan well travel. Section this show loss player shoulder.,Schwartz Inc,Technology,Proposal,97741,Won,1/20/2024,Completed,Other,Malta,8,10/16/2022,12/11/2023,4
45,Jay Flores,https://placekitten.com/443/66,rmyers@example.org,(638)687-8147,Leader system contain every sure agent western. Price man box by represent week. Color reflect court if administration.,"Pacheco, Taylor and Robbins",Healthcare,Closed Deal,91428,Won,1/23/2024,Ongoing,Yahoo,Japan,3,11/16/2023,12/28/2023,47
46,Margaret Sanchez,https://picsum.photos/368/690,pmurphy@example.com,001-360-766-4932x5709,Best myself energy. Enjoy rich case career.,Richardson Ltd,Retail,Opportunity,51748,Won,1/17/2024,Ongoing,Other,Azerbaijan,4,8/17/2022,12/2/2023,41
47,Theresa Cox,https://picsum.photos/328/209,icobb@example.com,+1-904-919-9848x329,Believe hear cup military tree attention day. Manager security product huge. Nation you dinner out reason.,Patel-Wright,Finance,Opportunity,41023,Lost,1/16/2024,Completed,Yahoo,Montserrat,8,10/31/2022,12/19/2023,6
48,Amy Dixon,https://dummyimage.com/71x850,ipalmer@example.com,(315)705-9321x7517,Focus run without positive order maintain less. If theory morning power different capital lot will.,"Young, Baker and Bailey",Healthcare,Closed Deal,45199,Won,1/7/2024,Ongoing,Google,Paraguay,4,2/19/2022,12/3/2023,77
49,David Humphrey,https://dummyimage.com/757x942,paulmanning@example.net,(742)403-9524x81411,Life raise special authority central industry town. Day west themselves popular weight. Go bad before laugh marriage activity guess present.,Arnold LLC,Finance,Opportunity,70661,Won,1/4/2024,Ongoing,Yahoo,Moldova,7,5/15/2022,12/28/2023,56
50,Michael Ruiz,https://picsum.photos/146/409,wjames@example.net,971-368-7697,Idea perform draw. Say most wonder treat live debate whose simple.,Lara-Johnson,Finance,Lead,42406,Won,1/8/2024,Completed,Instagram,Suriname,4,8/31/2022,12/3/2023,56
51,Alicia Smith PhD,https://placekitten.com/903/432,tmartinez@example.net,001-910-745-5668x86966,Model end their few. Forward add market base them wonder.,Fitzgerald Ltd,Healthcare,Lead,53067,Won,1/14/2024,Completed,Other,Cambodia,3,2/18/2022,12/26/2023,64
52,Kelsey Fields,https://picsum.photos/713/659,leegraham@example.net,213.388.1794,Level wish positive issue girl become magazine its. Community support safe way anything name.,"Hall, Thornton and Walker",Healthcare,Proposal,64700,Won,1/17/2024,Ongoing,Instagram,Saint Martin,1,6/12/2021,12/4/2023,6
53,Rhonda Johnson,https://placekitten.com/331/372,jesse60@example.com,732.549.3091x8922,Century help record someone call nation. Catch short clear husband describe less stay actually. Business light bank become.,Lin and Sons,Finance,Proposal,41153,Won,1/21/2024,Completed,Other,Samoa,3,5/1/2021,12/8/2023,77
54,Sandra Horton,https://placekitten.com/37/96,cruzaaron@example.com,001-800-314-5292x964,Since want key modern. Care local usually year.,Ross Ltd,Finance,Opportunity,78036,Lost,1/14/2024,Ongoing,X,Mongolia,2,3/2/2023,12/24/2023,95
55,Jesus Bennett,https://placekitten.com/487/1023,erica58@example.com,262.498.9027x33252,Stay husband expert kitchen play believe type. Message outside couple create per rock.,"Jones, Howard and Rodriguez",Finance,Opportunity,63011,Lost,1/15/2024,Completed,Instagram,Netherlands Antilles,8,5/20/2023,12/4/2023,33
56,Donna Smith,https://picsum.photos/428/800,richardweber@example.com,(927)939-6079x14106,Hold entire lose under avoid lawyer rest. Respond safe certain mother conference three water. Less wind here recent.,"Hammond, Mack and Morgan",Technology,Proposal,7284,Won,1/24/2024,Completed,Other,Germany,7,4/18/2023,12/16/2023,40
57,Teresa Morris,https://picsum.photos/947/157,daniel95@example.com,+1-458-634-4115x531,Order medical stand west issue federal health. Left indeed method reduce speech evening. Change can face big light various couple.,"Rodriguez, Wilson and James",Finance,Lead,52047,Won,1/13/2024,Completed,Yahoo,Tajikistan,3,4/1/2021,12/11/2023,73
58,Robert Ramos,https://dummyimage.com/7x692,scottbell@example.com,(279)773-3717x601,Him marriage question language election despite. Any movie up mouth card bed. Themselves record face with.,Chang-Jackson,Healthcare,Proposal,98531,Won,1/2/2024,Ongoing,Other,Micronesia,8,10/15/2021,12/17/2023,84
59,Mary Carter,https://placekitten.com/916/346,bobbypeters@example.net,+1-805-819-6307x210,Politics government seem blood blood hear. Point marriage camera. When after theory cup growth trouble newspaper.,"Kaufman, Fowler and Wells",Healthcare,Proposal,16378,Won,1/4/2024,Ongoing,Other,Bolivia,10,1/18/2020,12/12/2023,79
60,Michaela Marshall,https://placekitten.com/247/239,lreeves@example.org,(235)235-9672x970,Statement poor young worry condition mission pressure. Stand report crime table ground really subject. Six measure chance pull question. Chair check record camera husband form.,Ryan-Chavez,Healthcare,Closed Deal,24961,Won,12/31/2023,Completed,Other,Suriname,1,11/27/2022,12/22/2023,23
61,Alice Reese,https://picsum.photos/787/4,jodi03@example.com,+1-789-462-7169x764,Serve paper say side big. Individual appear range individual.,Fox Ltd,Healthcare,Opportunity,84704,Won,1/27/2024,Ongoing,Google,Serbia,4,5/7/2020,12/22/2023,82
62,Melanie Padilla,https://dummyimage.com/183x610,coxoscar@example.net,(800)956-7869,Fear each agency according. Paper worry few quite score center.,Hill Ltd,Finance,Opportunity,79355,Won,1/2/2024,Completed,Other,Serbia,8,8/14/2023,12/5/2023,99
63,Jesus Hill,https://picsum.photos/993/368,huntmatthew@example.com,526.785.1404x28951,Wide she common while member. Your say create hair. Head suddenly standard daughter represent position ask.,Smith-Rocha,Finance,Opportunity,31699,Won,1/6/2024,Ongoing,Yahoo,Cameroon,4,5/19/2021,12/11/2023,49
64,Victoria Watson,https://placekitten.com/517/118,christopherjuarez@example.org,529.234.3823,Common Republican take full very force hear. Hand whatever generation avoid toward risk admit.,"Gordon, Phillips and Snyder",Technology,Lead,58436,Won,12/31/2023,Completed,Facebook,Italy,1,8/31/2022,12/19/2023,75
65,Mr. Jose Dunn,https://dummyimage.com/472x369,doyleshelby@example.net,2036399303,Indeed receive newspaper close. Likely effect election series game attack different. Seem style peace figure important manager.,"Gibson, Young and Silva",Finance,Closed Deal,13388,Won,1/26/2024,Ongoing,Instagram,Burundi,10,8/18/2022,12/16/2023,22
66,Mitchell Oneill,https://placekitten.com/512/398,iramsey@example.org,7684259718,Return business nice degree black response north. Hit economy country compare responsibility scene white. Entire sort senior start effect doctor.,"Jackson, Hampton and Huynh",Finance,Closed Deal,29504,Won,1/8/2024,Ongoing,Facebook,Anguilla,9,3/10/2022,12/26/2023,92
67,George Snow,https://dummyimage.com/203x347,david52@example.org,470.251.6153x741,Rest he today at. Poor ball laugh two difference section well. Impact push TV decide offer federal.,Miller-Anderson,Finance,Proposal,54384,Won,1/26/2024,Completed,Facebook,Sierra Leone,8,3/2/2022,12/4/2023,68
68,Jennifer Smith,https://picsum.photos/222/1013,jonesbryan@example.org,(606)972-9015x6984,Detail west exactly enter. Account rate direction factor quite all. Future number public why mission government available strong.,Holt-Deleon,Healthcare,Proposal,33095,Lost,1/21/2024,Ongoing,Website,French Southern Territories,2,11/8/2023,12/17/2023,84
69,David Summers,https://placekitten.com/745/119,kevinramsey@example.net,257.424.7055x948,Head science senior sing. Show short want while language nice level. Down no machine need often add experience.,Warren-Crane,Retail,Opportunity,19013,Won,1/22/2024,Ongoing,Google,Jersey,5,1/23/2021,12/22/2023,14
70,Jeffrey Alvarez,https://placekitten.com/917/627,joannapowell@example.net,(763)626-1718,Six through beyond result else third thank reach. Today off air.,Gibbs PLC,Retail,Opportunity,6121,Won,12/31/2023,Ongoing,Instagram,Poland,2,8/23/2023,12/10/2023,73
71,Michael Roberts,https://dummyimage.com/6x306,ricky85@example.net,942.516.6161x0407,Book across necessary maintain. Music enter long however your husband morning. Collection product their.,Brown-King,Healthcare,Proposal,90949,Won,1/23/2024,Ongoing,Google,Liberia,9,3/8/2020,12/11/2023,42
72,Tammy Sweeney,https://placekitten.com/965/197,dylan20@example.net,614-616-7394x5650,Finally wear staff course figure imagine parent history. Air know western. Fear describe which because.,"Cross, Blair and Miller",Technology,Closed Deal,21297,Won,1/13/2024,Ongoing,Yahoo,Namibia,1,1/11/2022,12/19/2023,63
73,William Owens,https://picsum.photos/490/753,james55@example.com,512-906-3429,Finish rate difference free him. Heart back former eat action point until.,Jones Inc,Healthcare,Proposal,31411,Won,12/30/2023,Completed,Google,Nicaragua,5,2/7/2022,12/7/2023,5
74,Nicholas Mason,https://dummyimage.com/838x511,susanfreeman@example.org,001-665-582-6175x154,Again day today usually much responsibility choice. Carry rest size possible you. Cold front senior situation blue job foreign.,Chen LLC,Technology,Closed Deal,93561,Won,1/9/2024,Ongoing,Yahoo,Andorra,10,5/27/2021,12/10/2023,93
75,Lauren Smith MD,https://placekitten.com/15/656,davidwalker@example.org,+1-339-219-8484x77872,Win continue bed ago by. I agree community not ready scene face. Force computer game hard should.,Morales-Turner,Technology,Lead,52935,Lost,1/16/2024,Ongoing,Other,Chad,10,2/7/2023,12/24/2023,63
76,Debra Stewart,https://dummyimage.com/398x992,johnlindsey@example.net,4385059343,Why type operation bill big a discussion. War theory wear mind bank garden sometimes meeting. Through sometimes again when.,"Snyder, Mclean and Collins",Finance,Lead,59067,Won,1/11/2024,Ongoing,Yahoo,Lesotho,10,10/22/2022,12/1/2023,83
77,Sheila Jackson,https://dummyimage.com/715x10,stevenking@example.net,+1-686-289-9245x56963,Particularly create child suffer health. Benefit floor ever still model. Push short my and floor sometimes.,"Roberts, Stewart and Anderson",Technology,Proposal,44387,Won,1/6/2024,Ongoing,Instagram,Malta,2,5/17/2023,12/18/2023,74
78,David Turner,https://dummyimage.com/912x419,richard49@example.com,(377)972-6505,End must away weight. Use on sister help figure impact conference. President rest service our movement education describe.,Myers Group,Technology,Proposal,33207,Lost,1/13/2024,Completed,Other,Norway,7,5/3/2022,12/10/2023,46
79,Jay Carter,https://placekitten.com/238/967,lschmitt@example.net,805-551-2387,Federal talk them follow card option.,"Rogers, Combs and Reed",Retail,Lead,82113,Won,1/7/2024,Ongoing,Instagram,Israel,1,2/22/2023,12/17/2023,8
80,Justin Barrett,https://dummyimage.com/189x458,susan57@example.net,655-830-9180,Produce tax beyond wear particularly power. Sing morning evening debate. That heavy majority watch case one step.,Perez-Brown,Technology,Opportunity,8177,Won,1/19/2024,Ongoing,Website,Lithuania,2,3/26/2020,12/11/2023,97
81,Grace Garcia,https://placekitten.com/133/203,forbesjames@example.org,+1-619-404-0283x44483,Capital others next force spring down group. Note management paper lead fear discussion. Second agree better more first American manage. Might others line Mr money.,"Guerra, Lee and Carr",Technology,Proposal,42992,Won,1/5/2024,Completed,Yahoo,Somalia,6,2/9/2022,12/18/2023,7
82,Erica Garcia,https://dummyimage.com/89x111,sarahdoyle@example.com,988.746.5460x949,Newspaper church item bed class. Far suddenly series hospital common fly beautiful.,Spencer-Carpenter,Healthcare,Opportunity,80882,Lost,1/14/2024,Completed,Other,Tonga,4,8/22/2022,12/16/2023,45
83,Michael Woodard,https://placekitten.com/308/773,lee10@example.com,408-585-9668x3973,Interest soldier scene without inside. Wear best sister run interest. Win result recent far analysis imagine discuss.,Wise LLC,Healthcare,Opportunity,44189,Won,1/1/2024,Ongoing,Yahoo,Guinea,6,7/12/2020,12/23/2023,71
84,James Kelly,https://dummyimage.com/142x541,justin43@example.net,4032130541,Green thing safe go improve form rate. Democratic nor writer care final dark action.,"Wright, Smith and Trevino",Retail,Opportunity,70036,Won,1/14/2024,Ongoing,Facebook,Mauritania,6,8/13/2021,12/18/2023,22
85,Lynn Howard,https://placekitten.com/744/164,jeremywilliams@example.com,+1-732-814-2062x34337,Remain morning decide study. Who put important time nature your set. Sit know over however return.,Sweeney-Banks,Retail,Lead,37770,Won,1/21/2024,Completed,Facebook,Reunion,3,3/11/2021,12/21/2023,19
86,Michael Cordova,https://placekitten.com/107/487,collierlisa@example.net,+1-220-616-4342x9227,Address get amount occur. Between sense trial once contain. Data full capital agree society break happen.,Martinez LLC,Finance,Opportunity,21262,Lost,1/7/2024,Ongoing,Yahoo,Thailand,6,5/16/2022,12/2/2023,37
87,Michaela James,https://dummyimage.com/950x144,jamiejohnson@example.net,587-913-6667,Discuss executive threat buy level before me. Song economy describe loss high water. Radio clear draw majority. Some fear while travel would doctor.,Wright Inc,Finance,Closed Deal,97671,Lost,1/16/2024,Completed,Website,Slovenia,1,9/20/2022,12/9/2023,18
88,Samantha Perry,https://picsum.photos/93/501,alexanderdeleon@example.com,777-355-6609,Save four design argue. To in stuff ask ball.,Mora-Peterson,Retail,Lead,3787,Lost,1/19/2024,Completed,Google,Ghana,8,10/19/2020,12/25/2023,87
89,Jonathan Carter,https://dummyimage.com/4x848,alyssazimmerman@example.net,248-661-0083x6267,Social result stock trouble.,"Blake, Mclean and Bennett",Healthcare,Closed Deal,34749,Lost,1/21/2024,Completed,Other,Israel,9,3/15/2021,12/6/2023,19
90,Christopher Velazquez,https://placekitten.com/170/483,robert74@example.com,939.598.5534x0832,Plant street which treatment wrong month now. Firm upon approach rock less nice professor.,"Davenport, Campbell and Watkins",Healthcare,Closed Deal,97237,Won,1/23/2024,Completed,Google,Greenland,2,11/18/2021,12/13/2023,4
91,Jordan Rubio,https://picsum.photos/784/270,bphillips@example.org,430-836-5611,National organization article industry war air. Response success event get national. Technology yet practice newspaper people ok much.,Rowe-Rush,Finance,Proposal,7996,Lost,1/15/2024,Ongoing,Website,Ethiopia,2,7/31/2023,12/9/2023,32
92,Jason Hobbs,https://placekitten.com/467/610,claytonwilliam@example.com,755.239.6405x368,Hope entire claim seem. Current know see base table. Long minute drug heart technology wide statement us.,Sandoval Group,Finance,Proposal,98247,Lost,1/25/2024,Ongoing,Yahoo,Afghanistan,10,7/26/2023,12/25/2023,90
93,Kevin Jones,https://dummyimage.com/827x179,terrisanchez@example.com,313.238.0359,Project book throw kid sea.,"Brown, Martin and Spencer",Finance,Closed Deal,74904,Lost,1/10/2024,Completed,X,Sri Lanka,6,8/3/2021,12/14/2023,74
94,Richard James,https://picsum.photos/206/901,popelauren@example.com,+1-517-632-1495x989,Letter begin so consider. Station check support program rise too join safe. Interesting TV quality town plant great.,"White, Doyle and Lee",Retail,Closed Deal,78863,Won,1/6/2024,Ongoing,X,Cook Islands,7,11/19/2021,12/1/2023,16
95,Greg Baker,https://placekitten.com/937/231,vsanchez@example.net,565-685-5337x595,Up in care off voice hour. Different space sometimes hand. Staff opportunity result development.,"Ortiz, Williams and Sims",Healthcare,Opportunity,59504,Won,1/17/2024,Completed,X,Mali,2,10/26/2020,12/17/2023,89
96,Alan Wise,https://dummyimage.com/647x547,eric19@example.net,(922)826-3481x692,How perform feel special theory itself window. Expert start test station. Language him check office.,Garcia LLC,Retail,Lead,99298,Won,12/30/2023,Ongoing,Yahoo,Myanmar,3,9/9/2022,12/10/2023,60
97,Kurt Lopez,https://picsum.photos/276/517,award@example.org,001-919-657-5405,How little air put anything author represent.,"Mueller, Pennington and Montgomery",Healthcare,Closed Deal,19501,Won,1/27/2024,Completed,X,Guatemala,8,1/11/2023,12/1/2023,72
