First Name,Last Name,Email,Phone Number,Company Name,Industry,Lead Source,Lead Status,Lead Score,Created Date,Opportunity Amount,Opportunity Stage,Probability of Close,Age,Gender,Location,Product Interest,Last Interaction Date,Contract Type,Contract Start Date,Contract End Date,Monthly Revenue,Support Tickets Open,Support Tickets Closed,Last Email Sent Date,Last Phone Call Date,Last Meeting Date,Email Thread,Notes,Comments
James,Miller,annahill@example.com,(969)650-6004x0550,Herring LLC,Finance,Social Media,Lost,68,2023-12-24,44781,Closed Lost,0.34861216624653013,37,Male,Nancyton,Product B,2023-10-04,Subscription,2023-01-09,2023-06-11,212,8,6,2024-01-28,2023-08-29,2024-02-01,"['Available know send administration between large day. Collection others this represent reason rest west house.', 'Form half study particularly table. Trip collection fight claim. Organization tree science hope far.']","['Growth room box drop again. Agent focus else method notice education.', 'Quality raise case official like. West play state. Painting deep down star. Citizen rate treat citizen study on.']",['Community face time might part control. Thought law expert assume star.']
Sheila,Thompson,umoreno@example.org,001-830-422-0697x816,Colon-Kennedy,Manufacturing,Social Media,Lost,83,2023-11-04,37791,Qualification,0.18797408595825404,21,Male,Lake Antonio,Product A,2023-11-20,Subscription,2021-10-23,2024-02-10,6808,6,6,2023-09-12,2023-08-30,2023-09-09,['Per whole per man. Energy husband grow game feeling him. Go beautiful system team.'],"['Speech for land. Local social occur run be.', 'Social reach economic serve trade report. By project fact state measure catch seek.']","['Time police sign seek only lawyer consider. End add low around thing deep office. Pass gas message spring.', 'Take design many boy speak. Customer look face unit teach. Reveal training suggest field. Father interesting head great thing difficult avoid.']"
Lauren,Shepard,griffinmiguel@example.net,366.218.4126x70778,Bradley PLC,Healthcare,Referral,New,37,2024-01-18,82198,Proposal,0.028271736698959993,20,Female,Ronaldborough,Product B,2023-09-30,Custom,2021-09-28,2023-05-19,8055,6,1,2023-09-08,2024-01-11,2023-07-21,['Investment song short. Catch father late heart. Cover report game movement bring evening run.'],"['Present she plant certain heavy quickly. Hand cost tend employee if catch account. Firm theory above.', 'Tell traditional future phone. Light share recent star life though something. Street deep east police including nothing.']","['Wall stand push decision decade fund group firm.', 'Capital total black. Series best level moment him score new. His south discuss bag young hour treatment.', 'Morning often player.']"
Joseph,Espinoza,monica38@example.org,+1-477-632-9396x1426,Edwards Inc,Retail,Social Media,Lost,95,2022-04-27,82812,Closed Lost,0.9326711905456385,63,Male,New Kathleenton,Product A,2023-09-25,Custom,2022-08-25,2023-07-01,1257,2,0,2023-03-13,2023-04-15,2023-12-15,['Himself quite such indeed matter American local. Defense rock everyone leg resource. Couple our notice company.'],['See possible rock big plan just. Pressure over create rich.'],"['Major instead continue consider happen. Place case religious weight art whose eat. Late statement me plant performance help.', 'Example set son on face establish your. Method music us kind.']"
Tim,Farmer,amanda07@example.org,946.529.3263x2737,Mitchell Ltd,Technology,Cold Call,Qualified,46,2022-09-11,75539,Proposal,0.7109528212986128,57,Female,Littleberg,Product A,2023-12-01,One-time Purchase,2022-07-11,2023-11-06,8631,7,7,2023-03-23,2024-02-11,2023-02-21,"['My do environment. Share and now hear. Popular until media. Party until deep entire girl international.', 'Worry say feeling poor. Simply report cell series we reach program.']",['Natural fine institution spend listen south. Pull why include course. Charge make method here risk small every.'],['Nor son create around wide his economic. Mean toward small yes. Reflect tend chance. Yard price while.']
Daniel,Kane,leeapril@example.org,973.551.2757x781,Monroe-Davis,Healthcare,Social Media,Qualified,4,2022-10-23,8958,Proposal,0.647365014934339,79,Male,South Pamela,Product C,2023-05-19,Custom,2021-05-29,2023-08-09,201,2,0,2023-05-06,2023-05-01,2023-05-07,['Certain wife memory beyond argue finally quickly. Between machine body. Only same democratic sense.'],"['Region prepare almost want society question home. These century grow various. Expect property while shoulder citizen leave skill.', 'Fish run tonight really. Door life message maintain.', 'Value travel cold that. Trial beat team expert hear fly artist.']","['Collection identify movie maintain yeah a reduce accept. Usually thank financial bad record not security. Into spring local yeah free pay.', 'Threat various ever event. Town forget play indeed visit quickly college. Security language next lay.']"
Michele,Cooper,jodirichmond@example.net,+1-895-455-1991x461,Rodriguez and Sons,Retail,Website,New,38,2021-04-24,8471,Closed Lost,0.5873599124066189,76,Male,Lake Kristenhaven,Product B,2024-01-08,Custom,2023-01-21,2023-12-07,6740,8,3,2023-08-09,2024-01-10,2024-01-21,"['Most may college north save. Best career actually goal reflect. Sister model space together almost official discover.', 'Quickly skill beautiful body.']","['Policy they student born system. Laugh listen activity stand computer old discover. Least nation computer including low scientist why.', 'Actually right brother left evidence serve here.']","['Account prevent enter allow different. Business garden can strong card me.', 'Professional effect write. Power seem listen compare. Stay defense example parent foreign strategy.']"
William,Oliver,kscott@example.org,001-271-284-1562x95035,Roberts LLC,Manufacturing,Website,New,100,2023-07-24,10627,Closed Lost,0.6221733496015317,44,Male,South Lisa,Product C,2023-08-03,Custom,2022-11-16,2023-06-10,7448,3,1,2023-05-22,2023-09-24,2023-07-07,"['Administration nor point executive main girl these red. Either half effort still.', 'American want store fact today away. Clearly necessary thus condition do society. System matter character whose.']","['Item talk stop. Store physical cost society. Doctor itself head them story.', 'Your through TV government thus best trade. Visit third now executive under their our environment.', 'Can themselves always happen particularly audience shoulder. Kind cost lose in. Hot note price item wait energy.']","['Instead seek ever toward challenge audience. Prevent career somebody more. Thousand common member save strong quality.', 'South similar face true enter store. Kind organization necessary strong case. Reason born system stage. Enjoy effort artist represent and issue.']"
Andrew,Williams,blakenixon@example.net,3729973699,Williams PLC,Technology,Referral,Contacted,33,2020-06-24,82056,Needs Analysis,0.3594023085541126,43,Female,Andrealand,Product D,2023-09-14,Custom,2021-06-24,2023-12-04,5094,10,1,2023-08-20,2023-07-01,2023-02-25,"['Include participant share security apply by responsibility. While yourself form buy meeting doctor country.', 'Market state employee any job ability. Finish condition method create question try amount. Wide them property test customer product vote.']",['Pass sport especially. Traditional operation later role break. Hotel position these under. Reason air type itself land own.'],['Majority sort have try plan member.']
Nicole,Velez,david80@example.org,(509)499-5445x9093,Chang-Graham,Technology,Social Media,Qualified,47,2020-04-24,34573,Prospecting,0.10549492653791659,33,Male,East Donna,Product C,2023-02-24,Subscription,2021-08-28,2023-06-25,5606,2,0,2023-06-29,2024-01-17,2023-11-15,"['Medical performance front exist news town up. Tree daughter recently season.', 'Fly within born hour investment return approach. Energy teacher our. Way manager his help wide style without. Relationship white government not Republican will draw.']",['Minute thought various management. Such recognize your fear involve should reflect. His southern their.'],"['May near become own. Hotel late return call reduce without far matter. Culture determine leader decide world.', 'Analysis imagine people religious four respond raise. Fact her degree seat when one simple ability. Article purpose reduce peace choose behavior before.', 'Letter air if player. Phone standard service main police risk value anyone.']"
Justin,Miller,joseph43@example.org,+1-585-834-8449x663,"Walker, Lee and Wong",Finance,Social Media,New,69,2022-06-02,48818,Prospecting,0.025851732485306145,77,Male,Christopherport,Product A,2023-12-24,One-time Purchase,2022-07-08,2023-09-03,360,10,0,2023-08-16,2023-05-25,2023-09-21,"['Size notice physical with treatment where. Conference whose class manage seat art ok. Nor training level happen sound color address present.', 'Happen quite hard analysis recent truth. City response along draw measure buy treat. Just tend also condition provide.']","['Medical rich cultural consider president staff us. Behind cost production.', 'Play sing although should reach. Art force growth should catch. Very bad change either successful turn world.']","['Worker detail stop agree matter nature. Own view opportunity professor ball pretty.', 'Blue goal cut central admit field adult. Clear hair page list.']"
Mariah,Fuller,edwardsrachel@example.org,887.625.0882,"Rojas, Gilbert and Barton",Healthcare,Website,New,69,2022-09-03,3859,Qualification,0.45868314796898446,79,Female,Wilkersonborough,Product D,2023-07-18,Subscription,2021-09-12,2024-02-12,5914,5,1,2024-01-02,2023-12-05,2023-07-22,['Ahead once card. Appear product onto religious on avoid.'],"['Take air camera bank model run. Today set last own main while dream. Eat although mouth choice everyone.', 'Tough and able difference their certainly. Every ask reason suddenly professional nearly want seven. Rule dark these smile brother set.']",['Maybe wall movement protect strategy. Establish free sell site edge half join.']
Jordan,Thomas,katie95@example.org,7076460344,"Jackson, Williams and Nelson",Retail,Cold Call,Lost,98,2022-07-16,92164,Proposal,0.37661322427234223,65,Male,Port Glen,Product D,2023-02-21,Subscription,2021-04-08,2023-04-19,8483,4,4,2023-10-30,2023-07-29,2023-12-17,"['Culture choose face trial most major.', 'Tv money movement. Until cause for goal leave his. Must school occur happen leg ok where.']",['Lot technology win general language. Fill serious mind seem.'],"['Teacher example change. Southern hit he night realize. Huge free two.', 'True purpose like system high. Short necessary throw player leave I. Need prove mean computer experience.']"
Bob,Ramirez,kristidrake@example.com,337.272.8120x9202,"Smith, Martin and Ball",Healthcare,Social Media,Contacted,48,2022-05-08,75663,Qualification,0.5840848144475238,37,Female,North Duane,Product D,2024-01-18,Custom,2022-03-23,2023-07-26,9680,7,2,2023-04-01,2023-04-28,2024-01-24,['Recent owner training beyond attention book. Mrs computer marriage far. Positive risk board watch available.'],"['Food statement guess. Check recognize tend and.', 'Moment network ahead meeting attack. Than only man action history economy mind. Card time time law. Try day main writer.']",['Pay prove rest full much out. Generation blood side any cell each.']
Kathryn,Riley,curtischambers@example.net,394.284.7913x068,Cruz Group,Technology,Social Media,Qualified,45,2021-10-16,3351,Closed Won,0.4071248087520073,66,Male,Port Stephanieport,Product B,2023-02-28,Service Agreement,2021-11-25,2023-12-19,5970,8,5,2023-04-29,2023-08-07,2024-01-13,"['Because evidence term art better very forward fish. Character worker range bar room same. Hotel off nothing citizen those none. Sit school water book result allow scene.', 'Trial they girl old different. Summer finally mother great good gas character speak.', 'Suffer manage against political property. Company anything doctor positive.']",['Case care growth everything. Break yes different so win their.'],['Including likely style. Magazine capital fact perhaps black.']
Michele,Hunt,perrymario@example.com,+1-743-636-4362x82574,Hernandez-Briggs,Retail,Referral,Qualified,68,2023-10-26,54202,Qualification,0.7963870158082827,63,Female,Campbellville,Product B,2023-08-27,Custom,2022-07-30,2023-07-22,5366,1,0,2023-04-13,2023-03-28,2023-05-29,['Include business then security enter traditional. Letter might car realize. Member safe talk investment foot. Seem wear year citizen.'],"['Oil indeed yeah not. Design reach point. Now again history occur into word. House board thing.', 'Season teach discover field include. Rich anyone address run technology he. Board police resource arm per modern what.']","['Table tree air. Likely civil life act item. Machine difference as industry security truth. Check per thing good.', 'Baby TV realize population almost unit. Best plant record paper must president despite hard.', 'Less store project age people attorney. Behind increase foreign consumer certainly girl. Account talk reason address it military.']"
William,Porter,mgeorge@example.net,+1-235-869-2386x148,Sanchez-Morris,Finance,Cold Call,New,60,2020-11-27,69492,Qualification,0.022420604648870412,34,Female,Reedstad,Product A,2023-06-28,Subscription,2021-08-16,2023-02-18,6446,1,0,2023-06-21,2024-02-12,2023-04-12,['Right mean note husband economic. Show language concern from. Capital quite not apply.'],"['Ball only ready scientist whose pattern laugh. Activity fire foot change. Society hot dinner race rule compare effort reveal. Recent pattern rate.', 'How all carry life huge shoulder everyone start. Blue kitchen dog. Fear story matter protect conference.', 'Discover give it rule decide stop former. Family real around team green front how.']","['Probably will every consider born. Those third prove respond onto teach. Back court less.', 'Nearly sister blood large marriage ability even. Sing time ten concern. Hair inside light past treat son.', 'Prove baby price kid. Assume deep source bring sure head. Do television child politics risk speak best.']"
Shelby,Padilla,owensheather@example.com,5198154482,Miller-Jones,Retail,Social Media,Lost,1,2023-01-05,81649,Closed Won,0.41966048857704963,39,Male,East Lauren,Product B,2023-04-18,Service Agreement,2021-08-11,2023-06-22,4784,10,2,2023-04-25,2023-10-06,2023-05-22,"['Statement meeting opportunity allow see. Then our account check million. Property keep economic as either. Interesting meet give matter yeah industry.', 'Take cost radio prove.']","['Various my require ever.', 'Talk stuff pass though question book. Success name strong bed.']",['Option middle my teacher. Seven lead line may agreement force understand. Southern gun available many.']
Tammy,Hansen,padillaaaron@example.com,+1-220-520-3936x141,Richardson and Sons,Retail,Website,Lost,97,2021-11-17,97557,Closed Won,0.8047819669858245,53,Male,Carolinetown,Product A,2023-09-18,Subscription,2023-01-28,2023-03-16,4195,3,3,2023-10-31,2024-01-18,2023-04-22,['All brother actually up likely than. Leader to ever. See compare picture hundred pretty these produce.'],"['Science foreign practice nice poor school. Guy open now including at body consumer. Company ask cold first.', 'Those dinner language where. Within late artist choice bed organization. Cup eye continue store.']","['Each staff paper down national decision. Suffer space leave mention pick. Rather cold book. Receive build behind answer good.', 'Name dream thought would four. Minute let mouth leave board purpose.']"
Sandra,Moore,qmiller@example.org,(656)844-4546,Sweeney Ltd,Manufacturing,Referral,Lost,25,2023-09-19,55784,Closed Lost,0.7764640537188201,29,Female,Port Albert,Product B,2023-08-06,Service Agreement,2021-03-07,2023-06-07,6037,1,1,2023-09-30,2023-12-07,2023-03-29,"['Environmental far inside instead wide continue suddenly. Born approach respond knowledge have window. Computer return shake public.', 'Score sure can off why sit.']",['Herself out it minute character ever wrong in. Western beautiful teach avoid role ability bar.'],"['Attention ok send. Tell activity down describe bank year.', 'World thus deal plant. Safe student think teach guess. Forward for add guess purpose say. Do ok civil truth room.']"
Charles,Bell,bakercandace@example.org,001-829-399-0423x8187,Diaz PLC,Retail,Social Media,New,30,2020-04-21,85851,Prospecting,0.9813239294350611,47,Female,Rayview,Product D,2024-01-15,One-time Purchase,2022-04-08,2023-10-12,4125,4,3,2023-12-07,2023-11-03,2023-09-12,"['Easy understand officer sit. Organization research serious first cup. Fall response onto wall.', 'Just better point. Bad offer fast world campaign response positive rather.']","['Bar poor management. Somebody reason performance assume. Page close hand.', 'Attention skill test soldier or thing about.']","['A father owner why always. Notice space two brother fine.', 'If strategy organization rather again air step. Do yes plant local method person eye organization.', 'Material person central relationship if for start wrong.']"
Taylor,Becker,xmolina@example.net,567.220.8496x65660,Cook-Hernandez,Manufacturing,Referral,Qualified,16,2022-05-25,76213,Qualification,0.5806056954017037,39,Male,New Alexanderfurt,Product C,2023-08-10,Service Agreement,2021-07-26,2023-06-21,1188,7,6,2023-11-07,2023-11-02,2023-08-12,"['Better scene understand fly hot. Majority total job paper back half. Support subject my family north serious feel.', 'Clear value down. Idea much general send rule wish.']","['Heavy fact career knowledge staff strong may. Democratic perform remember change.', 'Source paper card painting court small same. Available movie upon. Lawyer treat half whose not product. Still reach wait interest identify interesting.', 'Part enjoy figure realize ready. Key meeting sound check democratic.']","['Side oil or entire be miss.', 'Purpose a though picture. Control course need know number itself. Will reality stuff respond these choose store.', 'Agency process hospital police executive. Recognize break why end natural. Serious within section tax service look home.']"
Alex,Simmons,alexisnguyen@example.net,821.314.1902,Ward-Williams,Technology,Cold Call,Lost,29,2020-06-03,43225,Prospecting,0.7564996299818305,20,Male,Ramosmouth,Product C,2023-03-17,Custom,2021-07-12,2023-04-16,9679,8,1,2023-04-18,2024-02-05,2023-05-20,"['Perhaps anyone only market health debate.', 'Like produce career marriage recent soon. Note drive trial however half marriage. Style explain ball not.', 'World quite adult himself own dark nearly. As thank bill environmental. Tonight a alone beyond since camera that.']","['Ahead friend administration. Both call lose central avoid country. Her everybody special inside him piece during.', 'Ask company Democrat team. Special that drop reveal generation appear. Collection line probably health or business never born.', 'Fast base attorney describe who. Suffer participant those morning. Deal common from hear American enjoy finally.']","['And point see camera. Rise stop organization church.', 'Growth else check interest. Field yourself table visit.', 'People which east story Mrs memory see.']"
Elizabeth,Jacobson,hamiltoncindy@example.org,(721)576-2777x9495,Smith-Baker,Retail,Website,Qualified,39,2023-04-15,82702,Closed Lost,0.0288682463156541,69,Male,Brendaberg,Product C,2023-04-10,Subscription,2022-11-21,2023-03-26,4845,9,7,2023-11-25,2024-01-07,2023-09-14,"['Capital discussion table explain role popular. Join actually impact appear.', 'Lay institution lawyer new space. Ground major truth save value. Admit serious push approach where six shoulder.', 'Country commercial require plant position. Involve use most writer I put idea.']","['Rule better Republican college always grow choice. Compare human have surface. Social show despite always store research.', 'Indeed agree exist cup easy. Society something view leader consumer.']","['Thus draw bit weight late policy goal. National concern clearly certain. Rich add between professional from edge worker.', 'Play likely house. Now its left specific way machine.']"
